apple_price,date
"4,300",2017-01-02
"4,300",2017-01-03
"4,300",2017-01-04
"4,300",2017-01-05
"4,300",2017-01-06
"4,300",2017-01-09
"4,300",2017-01-10
"4,300",2017-01-11
"4,500",2017-01-12
"4,500",2017-01-13
"4,500",2017-01-16
"4,500",2017-01-17
"4,500",2017-01-18
"4,500",2017-01-19
"4,500",2017-01-20
"4,500",2017-01-23
"4,700",2017-01-24
"4,700",2017-01-25
"4,700",2017-01-26
"4,700",2017-01-31
"4,700",2017-02-01
"4,700",2017-02-02
"4,700",2017-02-03
"4,700",2017-02-06
"4,700",2017-02-07
"4,700",2017-02-08
"4,700",2017-02-09
"4,700",2017-02-10
"4,500",2017-02-13
"4,500",2017-02-14
"4,500",2017-02-15
"4,500",2017-02-16
"4,500",2017-02-17
"4,500",2017-02-20
"4,500",2017-02-21
"4,500",2017-02-22
"4,500",2017-02-23
"4,300",2017-02-24
"4,300",2017-02-27
"4,300",2017-02-28
"4,300",2017-03-02
"4,500",2017-03-03
"4,500",2017-03-06
"4,500",2017-03-07
"4,500",2017-03-08
"4,500",2017-03-09
"4,500",2017-03-10
"4,300",2017-03-13
"4,300",2017-03-14
"4,300",2017-03-15
"4,300",2017-03-16
"4,300",2017-03-17
"4,300",2017-03-20
"4,300",2017-03-21
"4,300",2017-03-22
"4,300",2017-03-23
"4,300",2017-03-24
"4,300",2017-03-27
"4,300",2017-03-28
"4,300",2017-03-29
"4,300",2017-03-30
"4,300",2017-03-31
"4,100",2017-04-03
"4,100",2017-04-04
"4,100",2017-04-05
"4,100",2017-04-06
"4,000",2017-04-07
"4,000",2017-04-10
"4,000",2017-04-11
"4,000",2017-04-12
"4,000",2017-04-13
"4,000",2017-04-14
"4,000",2017-04-17
"4,000",2017-04-18
"4,000",2017-04-19
"4,000",2017-04-20
"4,000",2017-04-21
"3,800",2017-04-24
"3,800",2017-04-25
"3,800",2017-04-26
"3,800",2017-04-27
"3,800",2017-04-28
"3,800",2017-05-02
"3,800",2017-05-04
"3,800",2017-05-08
"3,800",2017-05-10
"3,800",2017-05-11
"3,800",2017-05-12
"3,800",2017-05-15
"3,800",2017-05-16
"3,800",2017-05-17
"3,800",2017-05-18
"3,800",2017-05-19
"3,800",2017-05-22
"3,800",2017-05-23
"3,800",2017-05-24
"3,800",2017-05-25
"3,800",2017-05-26
"3,800",2017-05-29
"3,800",2017-05-30
"3,800",2017-05-31
"3,800",2017-06-01
"3,800",2017-06-02
"3,600",2017-06-05
"3,600",2017-06-07
"3,600",2017-06-08
"3,600",2017-06-09
"3,600",2017-06-12
"3,600",2017-06-13
"3,600",2017-06-14
"3,600",2017-06-15
"3,800",2017-06-16
"3,800",2017-06-19
"3,800",2017-06-20
"4,000",2017-06-21
"4,000",2017-06-22
"4,000",2017-06-23
"4,000",2017-06-26
"4,000",2017-06-27
"4,000",2017-06-28
"4,000",2017-06-29
"4,000",2017-06-30
"4,000",2017-07-03
"4,000",2017-07-04
"4,000",2017-07-05
"4,000",2017-07-06
"3,800",2017-07-07
"3,800",2017-07-10
"3,800",2017-07-11
"3,800",2017-07-12
"3,800",2017-07-13
"3,800",2017-07-14
"3,800",2017-07-17
"3,800",2017-07-18
"3,800",2017-07-19
"3,800",2017-07-20
"3,800",2017-07-21
"3,800",2017-07-24
"3,800",2017-07-25
"3,800",2017-07-26
"3,800",2017-07-27
"3,800",2017-07-28
"3,800",2017-07-31
"3,600",2017-08-01
"3,600",2017-08-02
"3,600",2017-08-03
"3,600",2017-08-04
"3,600",2017-08-07
"3,600",2017-08-08
"3,600",2017-08-09
"3,600",2017-08-10
"3,600",2017-08-11
"3,600",2017-08-14
"3,600",2017-08-16
"3,600",2017-08-17
"3,600",2017-08-18
"3,600",2017-08-21
"3,600",2017-08-22
"3,600",2017-08-23
"3,600",2017-08-24
"3,600",2017-08-25
"3,600",2017-08-28
"3,500",2017-08-29
"3,500",2017-08-30
"3,500",2017-08-31
"3,500",2017-11-01
"3,500",2017-11-02
"3,500",2017-11-03
"3,500",2017-11-06
"3,500",2017-11-07
"3,500",2017-11-08
"3,300",2017-11-09
"3,300",2017-11-10
"3,300",2017-11-13
"3,100",2017-11-14
"3,300",2017-11-15
"3,300",2017-11-16
"3,300",2017-11-17
"3,300",2017-11-20
"3,300",2017-11-21
"3,300",2017-11-22
"3,300",2017-11-23
"3,300",2017-11-24
"3,300",2017-11-27
"3,300",2017-11-28
"3,300",2017-11-29
"3,500",2017-11-30
"3,500",2017-12-04
"3,500",2017-12-05
"3,500",2017-12-06
"3,500",2017-12-07
"3,500",2017-12-08
"3,500",2017-12-11
"3,500",2017-12-12
"3,500",2017-12-13
"3,500",2017-12-14
"3,500",2017-12-15
"3,500",2017-12-18
"3,300",2017-12-19
"3,300",2017-12-20
"3,600",2017-12-21
"3,600",2017-12-22
"3,600",2017-12-26
"3,600",2017-12-27
"3,600",2017-12-28
"3,600",2017-12-29
