itemname,kindname,countyname,marketname,yyyy,regday,price
[],[],평년,[],2018,02/23,"4,751"
[],[],평년,[],2018,02/26,"4,728"
[],[],평년,[],2018,02/27,"4,724"
[],[],평년,[],2018,02/28,"4,724"
[],[],평년,[],2018,03/02,"4,738"
[],[],평년,[],2018,03/05,"4,761"
[],[],평년,[],2018,03/06,"4,764"
[],[],평년,[],2018,03/07,"4,778"
[],[],평년,[],2018,03/08,"4,778"
[],[],평년,[],2018,03/09,"4,764"
[],[],평년,[],2018,03/12,"4,744"
[],[],평년,[],2018,03/13,"4,738"
[],[],평년,[],2018,03/14,"4,724"
[],[],평년,[],2018,03/15,"4,711"
[],[],평년,[],2018,03/16,"4,711"
[],[],평년,[],2018,03/19,"4,711"
[],[],평년,[],2018,03/20,"4,711"
[],[],평년,[],2018,03/21,"4,711"
[],[],평년,[],2018,03/22,"4,711"
[],[],평년,[],2018,03/23,"4,711"
[],[],평년,[],2018,03/26,"4,689"
[],[],평년,[],2018,03/27,"4,667"
[],[],평년,[],2018,03/28,"4,644"
[],[],평년,[],2018,03/29,"4,622"
[],[],평년,[],2018,03/30,"4,598"
[],[],평년,[],2018,04/02,"4,611"
[],[],평년,[],2018,04/03,"4,611"
[],[],평년,[],2018,04/04,"4,611"
[],[],평년,[],2018,04/05,"4,611"
[],[],평년,[],2018,04/06,"4,611"
[],[],평년,[],2018,04/09,"4,611"
[],[],평년,[],2018,04/10,"4,611"
[],[],평년,[],2018,04/11,"4,611"
[],[],평년,[],2018,04/12,"4,611"
[],[],평년,[],2018,04/13,"4,611"
[],[],평년,[],2018,04/16,"4,611"
[],[],평년,[],2018,04/17,"4,611"
[],[],평년,[],2018,04/18,"4,611"
[],[],평년,[],2018,04/19,"4,611"
[],[],평년,[],2018,04/20,"4,611"
[],[],평년,[],2018,04/23,"4,611"
[],[],평년,[],2018,04/24,"4,611"
[],[],평년,[],2018,04/25,"4,611"
[],[],평년,[],2018,04/26,"4,611"
[],[],평년,[],2018,04/27,"4,611"
[],[],평년,[],2018,04/30,"4,611"
[],[],평년,[],2018,05/02,"4,611"
[],[],평년,[],2018,05/03,"4,611"
[],[],평년,[],2018,05/04,"4,611"
[],[],평년,[],2018,05/08,"4,611"
[],[],평년,[],2018,05/09,"4,611"
[],[],평년,[],2018,05/10,"4,598"
[],[],평년,[],2018,05/11,"4,584"
[],[],평년,[],2018,05/14,"4,544"
[],[],평년,[],2018,05/15,"4,522"
[],[],평년,[],2018,05/16,"4,500"
[],[],평년,[],2018,05/17,"4,489"
[],[],평년,[],2018,05/18,"4,489"
[],[],평년,[],2018,05/21,"4,444"
[],[],평년,[],2018,05/23,"4,384"
[],[],평년,[],2018,05/24,"4,376"
[],[],평년,[],2018,05/25,"4,389"
[],[],평년,[],2018,05/28,"4,389"
[],[],평년,[],2018,05/29,"4,389"
[],[],평년,[],2018,05/30,"4,376"
[],[],평년,[],2018,05/31,"4,362"
[],[],평년,[],2018,06/01,"4,349"
[],[],평년,[],2018,06/04,"4,322"
[],[],평년,[],2018,06/05,"4,322"
[],[],평년,[],2018,06/07,"4,322"
[],[],평년,[],2018,06/08,"4,322"
[],[],평년,[],2018,06/11,"4,367"
[],[],평년,[],2018,06/12,"4,389"
[],[],평년,[],2018,06/14,"4,371"
[],[],평년,[],2018,06/15,"4,346"
[],[],평년,[],2018,06/18,"4,267"
[],[],평년,[],2018,06/19,"4,244"
[],[],평년,[],2018,06/20,"4,222"
[],[],평년,[],2018,06/21,"4,222"
[],[],평년,[],2018,06/22,"4,222"
[],[],평년,[],2018,06/25,"4,222"
[],[],평년,[],2018,06/26,"4,222"
[],[],평년,[],2018,06/27,"4,222"
[],[],평년,[],2018,06/28,"4,222"
[],[],평년,[],2018,06/29,"4,222"
[],[],평년,[],2018,07/02,"4,222"
[],[],평년,[],2018,07/03,"4,222"
[],[],평년,[],2018,07/04,"4,222"
[],[],평년,[],2018,07/05,"4,222"
[],[],평년,[],2018,07/06,"4,222"
[],[],평년,[],2018,07/09,"4,222"
[],[],평년,[],2018,07/10,"4,231"
[],[],평년,[],2018,07/11,"4,240"
[],[],평년,[],2018,07/12,"4,249"
[],[],평년,[],2018,07/13,"4,256"
[],[],평년,[],2018,07/16,"4,292"
[],[],평년,[],2018,07/17,"4,292"
[],[],평년,[],2018,07/18,"4,307"
[],[],평년,[],2018,07/19,"4,327"
[],[],평년,[],2018,07/20,"4,347"
[],[],평년,[],2018,07/23,"4,367"
[],[],평년,[],2018,07/24,"4,367"
[],[],평년,[],2018,07/25,"4,367"
[],[],평년,[],2018,07/26,"4,367"
[],[],평년,[],2018,07/27,"4,367"
[],[],평년,[],2018,07/30,"4,367"
[],[],평년,[],2018,07/31,"4,367"
[],[],평년,[],2018,08/01,"4,380"
[],[],평년,[],2018,08/02,"4,393"
[],[],평년,[],2018,08/03,"4,407"
[],[],평년,[],2018,08/06,"4,451"
[],[],평년,[],2018,08/07,"4,451"
[],[],평년,[],2018,08/08,"4,456"
[],[],평년,[],2018,08/09,"4,456"
[],[],평년,[],2018,08/10,"4,473"
[],[],평년,[],2018,08/13,"4,522"
[],[],평년,[],2018,08/14,"4,544"
[],[],평년,[],2018,08/16,"4,544"
[],[],평년,[],2018,08/17,"4,544"
[],[],평년,[],2018,08/20,"4,544"
[],[],평년,[],2018,08/21,"4,544"
[],[],평년,[],2018,08/22,"4,544"
[],[],평년,[],2018,08/23,"4,544"
[],[],평년,[],2018,08/24,"4,544"
[],[],평년,[],2018,08/27,"4,302"
[],[],평년,[],2018,08/28,"4,176"
[],[],평년,[],2018,08/29,"4,169"
[],[],평년,[],2018,08/30,"4,467"
[],[],평년,[],2018,08/31,"4,467"
[],[],평년,[],2018,09/03,"4,467"
[],[],평년,[],2018,09/04,-
[],[],평년,[],2018,09/05,-
[],[],평년,[],2018,09/06,-
[],[],평년,[],2018,09/07,-
[],[],평년,[],2018,10/22,-
[],[],평년,[],2018,10/23,-
[],[],평년,[],2018,10/24,-
[],[],평년,[],2018,10/25,"4,000"
[],[],평년,[],2018,10/26,"4,000"
[],[],평년,[],2018,10/29,"3,833"
[],[],평년,[],2018,10/30,"3,800"
[],[],평년,[],2018,10/31,"3,800"
[],[],평년,[],2018,11/01,"3,833"
[],[],평년,[],2018,11/02,"3,833"
[],[],평년,[],2018,11/05,"3,892"
[],[],평년,[],2018,11/06,"3,736"
[],[],평년,[],2018,11/07,"3,756"
[],[],평년,[],2018,11/08,"3,756"
[],[],평년,[],2018,11/09,"3,762"
[],[],평년,[],2018,11/12,"3,780"
[],[],평년,[],2018,11/13,"3,771"
[],[],평년,[],2018,11/14,"3,762"
[],[],평년,[],2018,11/15,"3,756"
[],[],평년,[],2018,11/16,"3,756"
[],[],평년,[],2018,11/19,"3,744"
[],[],평년,[],2018,11/20,"3,731"
[],[],평년,[],2018,11/21,"3,728"
[],[],평년,[],2018,11/22,"3,728"
[],[],평년,[],2018,11/23,"3,718"
[],[],평년,[],2018,11/26,"3,664"
[],[],평년,[],2018,11/27,"3,651"
[],[],평년,[],2018,11/28,"3,644"
[],[],평년,[],2018,11/29,"3,644"
[],[],평년,[],2018,11/30,"3,658"
[],[],평년,[],2018,12/03,"3,691"
[],[],평년,[],2018,12/04,"3,711"
[],[],평년,[],2018,12/05,"3,711"
[],[],평년,[],2018,12/06,"3,711"
[],[],평년,[],2018,12/10,"3,786"
[],[],평년,[],2018,12/11,"3,786"
[],[],평년,[],2018,12/12,"3,791"
[],[],평년,[],2018,12/13,"3,811"
[],[],평년,[],2018,12/14,"3,811"
[],[],평년,[],2018,12/17,"3,811"
[],[],평년,[],2018,12/18,"3,811"
[],[],평년,[],2018,12/19,"3,811"
[],[],평년,[],2018,12/20,"3,811"
[],[],평년,[],2018,12/21,"3,811"
[],[],평년,[],2018,12/24,"3,833"
[],[],평년,[],2018,12/26,"3,822"
[],[],평년,[],2018,12/27,"3,822"
[],[],평년,[],2018,12/28,"3,817"
[],[],평년,[],2018,12/31,"3,877"
사과,후지(1kg),서울,가락도매,2018,01/02,"3,600"
사과,후지(1kg),서울,가락도매,2018,01/03,"3,800"
사과,후지(1kg),서울,가락도매,2018,01/04,"3,900"
사과,후지(1kg),서울,가락도매,2018,01/05,"3,900"
사과,후지(1kg),서울,가락도매,2018,01/08,"3,900"
사과,후지(1kg),서울,가락도매,2018,01/09,"3,900"
사과,후지(1kg),서울,가락도매,2018,01/10,"3,900"
사과,후지(1kg),서울,가락도매,2018,01/11,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/12,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/15,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/16,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/17,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/18,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/19,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/22,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/23,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/24,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/25,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/26,"4,000"
사과,후지(1kg),서울,가락도매,2018,01/29,"4,200"
사과,후지(1kg),서울,가락도매,2018,01/30,"4,200"
사과,후지(1kg),서울,가락도매,2018,01/31,"4,200"
