itemname,kindname,countyname,marketname,yyyy,regday,price
[],[],평균,[],2016,01/04,"3,800"
[],[],평균,[],2016,01/05,"3,800"
[],[],평균,[],2016,01/06,"3,800"
[],[],평균,[],2016,01/07,"3,800"
[],[],평균,[],2016,01/08,"3,800"
[],[],평균,[],2016,01/11,"3,800"
[],[],평균,[],2016,01/12,"3,800"
[],[],평균,[],2016,01/13,"3,800"
[],[],평균,[],2016,01/14,"3,800"
[],[],평균,[],2016,01/15,"3,800"
[],[],평균,[],2016,01/18,"3,800"
[],[],평균,[],2016,01/19,"3,800"
[],[],평균,[],2016,01/20,"3,800"
[],[],평균,[],2016,01/21,"3,800"
[],[],평균,[],2016,01/22,"3,800"
[],[],평균,[],2016,01/25,"3,800"
[],[],평균,[],2016,01/26,"3,800"
[],[],평균,[],2016,01/27,"4,200"
[],[],평균,[],2016,01/28,"4,200"
[],[],평균,[],2016,01/29,"4,500"
[],[],평균,[],2016,02/01,"4,500"
[],[],평균,[],2016,02/02,"4,300"
[],[],평균,[],2016,02/03,"4,300"
[],[],평균,[],2016,02/04,"4,600"
[],[],평균,[],2016,02/05,"4,600"
[],[],평균,[],2016,02/11,"4,600"
[],[],평균,[],2016,02/12,"4,300"
[],[],평균,[],2016,02/15,"4,300"
[],[],평균,[],2016,02/16,"4,100"
[],[],평균,[],2016,02/17,"4,200"
[],[],평균,[],2016,02/18,"4,200"
[],[],평균,[],2016,02/19,"4,500"
[],[],평균,[],2016,02/22,"4,500"
[],[],평균,[],2016,02/23,"4,500"
[],[],평균,[],2016,02/24,"4,500"
[],[],평균,[],2016,02/25,"4,500"
[],[],평균,[],2016,02/26,"4,500"
[],[],평균,[],2016,02/29,"4,500"
[],[],평균,[],2016,03/02,"4,500"
[],[],평균,[],2016,03/03,"4,500"
[],[],평균,[],2016,03/04,"4,500"
[],[],평균,[],2016,03/07,"4,500"
[],[],평균,[],2016,03/08,"4,500"
[],[],평균,[],2016,03/09,"4,500"
[],[],평균,[],2016,03/10,"4,500"
[],[],평균,[],2016,03/11,"4,500"
[],[],평균,[],2016,03/14,"4,500"
[],[],평균,[],2016,03/15,"4,500"
[],[],평균,[],2016,03/16,"4,500"
[],[],평균,[],2016,03/17,"4,500"
[],[],평균,[],2016,03/18,"4,500"
[],[],평균,[],2016,03/21,"4,500"
[],[],평균,[],2016,03/22,"4,500"
[],[],평균,[],2016,03/23,"4,500"
[],[],평균,[],2016,03/24,"4,500"
[],[],평균,[],2016,03/25,"4,500"
[],[],평균,[],2016,03/28,"4,500"
[],[],평균,[],2016,03/29,"4,500"
[],[],평균,[],2016,03/30,"4,500"
[],[],평균,[],2016,03/31,"4,500"
[],[],평균,[],2016,04/01,"4,500"
[],[],평균,[],2016,04/04,"4,500"
[],[],평균,[],2016,04/05,"4,500"
[],[],평균,[],2016,04/06,"4,500"
[],[],평균,[],2016,04/07,"4,500"
[],[],평균,[],2016,04/08,"4,500"
[],[],평균,[],2016,04/11,"4,500"
[],[],평균,[],2016,04/12,"4,500"
[],[],평균,[],2016,04/14,"4,500"
[],[],평균,[],2016,04/15,"4,500"
[],[],평균,[],2016,04/18,"4,500"
[],[],평균,[],2016,04/19,"4,500"
[],[],평균,[],2016,04/20,"4,500"
[],[],평균,[],2016,04/21,"4,500"
[],[],평균,[],2016,04/22,"4,500"
[],[],평균,[],2016,04/25,"4,500"
[],[],평균,[],2016,04/26,"4,500"
[],[],평균,[],2016,04/27,"4,500"
[],[],평균,[],2016,04/28,"4,500"
[],[],평균,[],2016,04/29,"4,500"
[],[],평균,[],2016,05/02,"4,500"
[],[],평균,[],2016,05/03,"4,500"
[],[],평균,[],2016,05/04,"4,500"
[],[],평균,[],2016,05/09,"4,500"
[],[],평균,[],2016,05/10,"4,500"
[],[],평균,[],2016,05/11,"4,500"
[],[],평균,[],2016,05/12,"4,300"
