date,minwage
2016-01-01,6030
2016-01-02,6030
2016-01-03,6030
2016-01-04,6030
2016-01-05,6030
2016-01-06,6030
2016-01-07,6030
2016-01-08,6030
2016-01-09,6030
2016-01-10,6030
2016-01-11,6030
2016-01-12,6030
2016-01-13,6030
2016-01-14,6030
2016-01-15,6030
2016-01-16,6030
2016-01-17,6030
2016-01-18,6030
2016-01-19,6030
2016-01-20,6030
2016-01-21,6030
2016-01-22,6030
2016-01-23,6030
2016-01-24,6030
2016-01-25,6030
2016-01-26,6030
2016-01-27,6030
2016-01-28,6030
2016-01-29,6030
2016-01-30,6030
2016-01-31,6030
2016-02-01,6030
2016-02-02,6030
2016-02-03,6030
2016-02-04,6030
2016-02-05,6030
2016-02-06,6030
2016-02-07,6030
2016-02-08,6030
2016-02-09,6030
2016-02-10,6030
2016-02-11,6030
2016-02-12,6030
2016-02-13,6030
2016-02-14,6030
2016-02-15,6030
2016-02-16,6030
2016-02-17,6030
2016-02-18,6030
2016-02-19,6030
2016-02-20,6030
2016-02-21,6030
2016-02-22,6030
2016-02-23,6030
2016-02-24,6030
2016-02-25,6030
2016-02-26,6030
2016-02-27,6030
2016-02-28,6030
2016-02-29,6030
2016-03-01,6030
2016-03-02,6030
2016-03-03,6030
2016-03-04,6030
2016-03-05,6030
2016-03-06,6030
2016-03-07,6030
2016-03-08,6030
2016-03-09,6030
2016-03-10,6030
2016-03-11,6030
2016-03-12,6030
2016-03-13,6030
2016-03-14,6030
2016-03-15,6030
2016-03-16,6030
2016-03-17,6030
2016-03-18,6030
2016-03-19,6030
2016-03-20,6030
2016-03-21,6030
2016-03-22,6030
2016-03-23,6030
2016-03-24,6030
2016-03-25,6030
2016-03-26,6030
2016-03-27,6030
2016-03-28,6030
2016-03-29,6030
2016-03-30,6030
2016-03-31,6030
2016-04-01,6030
2016-04-02,6030
2016-04-03,6030
2016-04-04,6030
2016-04-05,6030
2016-04-06,6030
2016-04-07,6030
2016-04-08,6030
2016-04-09,6030
2016-04-10,6030
2016-04-11,6030
2016-04-12,6030
2016-04-13,6030
2016-04-14,6030
2016-04-15,6030
2016-04-16,6030
2016-04-17,6030
2016-04-18,6030
2016-04-19,6030
2016-04-20,6030
2016-04-21,6030
2016-04-22,6030
2016-04-23,6030
2016-04-24,6030
2016-04-25,6030
2016-04-26,6030
2016-04-27,6030
2016-04-28,6030
2016-04-29,6030
2016-04-30,6030
2016-05-01,6030
2016-05-02,6030
2016-05-03,6030
2016-05-04,6030
2016-05-05,6030
2016-05-06,6030
2016-05-07,6030
2016-05-08,6030
2016-05-09,6030
2016-05-10,6030
2016-05-11,6030
2016-05-12,6030
2016-05-13,6030
2016-05-14,6030
2016-05-15,6030
2016-05-16,6030
2016-05-17,6030
2016-05-18,6030
2016-05-19,6030
2016-05-20,6030
2016-05-21,6030
2016-05-22,6030
2016-05-23,6030
2016-05-24,6030
2016-05-25,6030
2016-05-26,6030
2016-05-27,6030
2016-05-28,6030
2016-05-29,6030
2016-05-30,6030
2016-05-31,6030
2016-06-01,6030
2016-06-02,6030
2016-06-03,6030
2016-06-04,6030
2016-06-05,6030
2016-06-06,6030
2016-06-07,6030
2016-06-08,6030
2016-06-09,6030
2016-06-10,6030
2016-06-11,6030
2016-06-12,6030
2016-06-13,6030
2016-06-14,6030
2016-06-15,6030
2016-06-16,6030
2016-06-17,6030
2016-06-18,6030
2016-06-19,6030
2016-06-20,6030
2016-06-21,6030
2016-06-22,6030
2016-06-23,6030
2016-06-24,6030
2016-06-25,6030
2016-06-26,6030
2016-06-27,6030
2016-06-28,6030
2016-06-29,6030
2016-06-30,6030
2016-07-01,6030
2016-07-02,6030
2016-07-03,6030
2016-07-04,6030
2016-07-05,6030
2016-07-06,6030
2016-07-07,6030
2016-07-08,6030
2016-07-09,6030
2016-07-10,6030
2016-07-11,6030
2016-07-12,6030
2016-07-13,6030
2016-07-14,6030
2016-07-15,6030
2016-07-16,6030
2016-07-17,6030
2016-07-18,6030
2016-07-19,6030
2016-07-20,6030
2016-07-21,6030
2016-07-22,6030
2016-07-23,6030
2016-07-24,6030
2016-07-25,6030
2016-07-26,6030
2016-07-27,6030
2016-07-28,6030
2016-07-29,6030
2016-07-30,6030
2016-07-31,6030
2016-08-01,6030
2016-08-02,6030
2016-08-03,6030
2016-08-04,6030
2016-08-05,6030
2016-08-06,6030
2016-08-07,6030
2016-08-08,6030
2016-08-09,6030
2016-08-10,6030
2016-08-11,6030
2016-08-12,6030
2016-08-13,6030
2016-08-14,6030
2016-08-15,6030
2016-08-16,6030
2016-08-17,6030
2016-08-18,6030
2016-08-19,6030
2016-08-20,6030
2016-08-21,6030
2016-08-22,6030
2016-08-23,6030
2016-08-24,6030
2016-08-25,6030
2016-08-26,6030
2016-08-27,6030
2016-08-28,6030
2016-08-29,6030
2016-08-30,6030
2016-08-31,6030
2016-09-01,6030
2016-09-02,6030
2016-09-03,6030
2016-09-04,6030
2016-09-05,6030
2016-09-06,6030
2016-09-07,6030
2016-09-08,6030
2016-09-09,6030
2016-09-10,6030
2016-09-11,6030
2016-09-12,6030
2016-09-13,6030
2016-09-14,6030
2016-09-15,6030
2016-09-16,6030
2016-09-17,6030
2016-09-18,6030
2016-09-19,6030
2016-09-20,6030
2016-09-21,6030
2016-09-22,6030
2016-09-23,6030
2016-09-24,6030
2016-09-25,6030
2016-09-26,6030
2016-09-27,6030
2016-09-28,6030
2016-09-29,6030
2016-09-30,6030
2016-10-01,6030
2016-10-02,6030
2016-10-03,6030
2016-10-04,6030
2016-10-05,6030
2016-10-06,6030
2016-10-07,6030
2016-10-08,6030
2016-10-09,6030
2016-10-10,6030
2016-10-11,6030
2016-10-12,6030
2016-10-13,6030
2016-10-14,6030
2016-10-15,6030
2016-10-16,6030
2016-10-17,6030
2016-10-18,6030
2016-10-19,6030
2016-10-20,6030
2016-10-21,6030
2016-10-22,6030
2016-10-23,6030
2016-10-24,6030
2016-10-25,6030
2016-10-26,6030
2016-10-27,6030
2016-10-28,6030
2016-10-29,6030
2016-10-30,6030
2016-10-31,6030
2016-11-01,6030
2016-11-02,6030
2016-11-03,6030
2016-11-04,6030
2016-11-05,6030
2016-11-06,6030
2016-11-07,6030
2016-11-08,6030
2016-11-09,6030
2016-11-10,6030
2016-11-11,6030
2016-11-12,6030
2016-11-13,6030
2016-11-14,6030
2016-11-15,6030
2016-11-16,6030
2016-11-17,6030
