itemname,kindname,countyname,marketname,yyyy,regday,price
[],[],평균,[],2018,01/02,"2,333"
[],[],평균,[],2018,01/03,"2,467"
[],[],평균,[],2018,01/04,"2,533"
[],[],평균,[],2018,01/05,"2,533"
[],[],평균,[],2018,01/08,"2,533"
[],[],평균,[],2018,01/09,"2,533"
[],[],평균,[],2018,01/10,"2,533"
[],[],평균,[],2018,01/11,"2,667"
[],[],평균,[],2018,01/12,"2,667"
[],[],평균,[],2018,01/15,"2,667"
[],[],평균,[],2018,01/16,"2,667"
[],[],평균,[],2018,01/17,"2,667"
[],[],평균,[],2018,01/18,"2,667"
[],[],평균,[],2018,01/19,"2,667"
[],[],평균,[],2018,01/22,"2,667"
[],[],평균,[],2018,01/23,"2,667"
[],[],평균,[],2018,01/24,"2,667"
[],[],평균,[],2018,01/25,"2,667"
[],[],평균,[],2018,01/26,"2,667"
[],[],평균,[],2018,01/29,"2,867"
[],[],평균,[],2018,01/30,"2,867"
[],[],평균,[],2018,01/31,"2,867"
[],[],평균,[],2018,02/01,"2,867"
[],[],평균,[],2018,02/02,"2,867"
[],[],평균,[],2018,02/05,"3,000"
[],[],평균,[],2018,02/06,"3,000"
[],[],평균,[],2018,02/07,"3,000"
[],[],평균,[],2018,02/08,"3,000"
[],[],평균,[],2018,02/09,"2,867"
[],[],평균,[],2018,02/12,"2,733"
[],[],평균,[],2018,02/13,"2,733"
[],[],평균,[],2018,02/14,"2,733"
[],[],평균,[],2018,02/19,"2,733"
[],[],평균,[],2018,02/20,"2,733"
[],[],평균,[],2018,02/21,"2,733"
[],[],평균,[],2018,02/22,"2,733"
[],[],평균,[],2018,02/23,"2,733"
[],[],평균,[],2018,02/26,"2,733"
[],[],평균,[],2018,02/27,"2,733"
[],[],평균,[],2018,02/28,"2,733"
[],[],평균,[],2018,03/02,"2,733"
[],[],평균,[],2018,03/05,"2,600"
[],[],평균,[],2018,03/06,"2,600"
[],[],평균,[],2018,03/07,"2,600"
[],[],평균,[],2018,03/08,"2,600"
[],[],평균,[],2018,03/09,"2,600"
[],[],평균,[],2018,03/12,"2,600"
[],[],평균,[],2018,03/13,"2,600"
[],[],평균,[],2018,03/14,"2,600"
[],[],평균,[],2018,03/15,"2,600"
[],[],평균,[],2018,03/16,"2,600"
[],[],평균,[],2018,03/19,"2,600"
[],[],평균,[],2018,03/20,"2,600"
[],[],평균,[],2018,03/21,"2,600"
[],[],평균,[],2018,03/22,"2,600"
[],[],평균,[],2018,03/23,"2,600"
[],[],평균,[],2018,03/26,"2,600"
[],[],평균,[],2018,03/27,"2,600"
[],[],평균,[],2018,03/28,"2,600"
[],[],평균,[],2018,03/29,"2,600"
[],[],평균,[],2018,03/30,"2,600"
[],[],평균,[],2018,04/02,"2,600"
[],[],평균,[],2018,04/03,"2,600"
[],[],평균,[],2018,04/04,"2,600"
[],[],평균,[],2018,04/05,"2,600"
[],[],평균,[],2018,04/06,"2,600"
[],[],평균,[],2018,04/09,"2,600"
[],[],평균,[],2018,04/10,"2,600"
[],[],평균,[],2018,04/11,"2,600"
[],[],평균,[],2018,04/12,"2,600"
[],[],평균,[],2018,04/13,"2,600"
[],[],평균,[],2018,04/16,"2,600"
[],[],평균,[],2018,04/17,"2,600"
[],[],평균,[],2018,04/18,"2,600"
[],[],평균,[],2018,04/19,"2,600"
[],[],평균,[],2018,04/20,"2,600"
[],[],평균,[],2018,04/23,"2,600"
[],[],평균,[],2018,04/24,"2,600"
[],[],평균,[],2018,04/25,"2,600"
[],[],평균,[],2018,04/26,"2,600"
[],[],평균,[],2018,04/27,"2,600"
[],[],평균,[],2018,04/30,"2,600"
[],[],평균,[],2018,05/02,"2,600"
[],[],평균,[],2018,05/03,"2,600"
[],[],평균,[],2018,05/04,"2,600"
[],[],평균,[],2018,05/08,"2,600"
[],[],평균,[],2018,05/09,"2,600"
[],[],평균,[],2018,05/10,"2,600"
[],[],평균,[],2018,05/11,"2,600"
[],[],평균,[],2018,05/14,"2,600"
[],[],평균,[],2018,05/15,"2,600"
[],[],평균,[],2018,05/16,"2,600"
[],[],평균,[],2018,05/17,"2,600"
[],[],평균,[],2018,05/18,"2,600"
[],[],평균,[],2018,05/21,"2,600"
[],[],평균,[],2018,05/23,"2,600"
[],[],평균,[],2018,05/24,"2,600"
[],[],평균,[],2018,05/25,"2,600"
[],[],평균,[],2018,05/28,"2,600"
[],[],평균,[],2018,05/29,"2,600"
[],[],평균,[],2018,05/30,"2,600"
[],[],평균,[],2018,05/31,"2,600"
[],[],평균,[],2018,06/01,"2,600"
[],[],평균,[],2018,06/04,"2,600"
[],[],평균,[],2018,06/05,"2,600"
[],[],평균,[],2018,06/07,"2,600"
[],[],평균,[],2018,06/08,"2,600"
[],[],평균,[],2018,06/11,"2,600"
[],[],평균,[],2018,06/12,"2,600"
[],[],평균,[],2018,06/14,"2,600"
[],[],평균,[],2018,06/15,"2,600"
[],[],평균,[],2018,06/18,"2,600"
[],[],평균,[],2018,06/19,"2,600"
[],[],평균,[],2018,06/20,"2,600"
[],[],평균,[],2018,06/21,"2,600"
[],[],평균,[],2018,06/22,"2,600"
[],[],평균,[],2018,06/25,"2,600"
