pear_price,date
"3,000",2017-01-02
"3,000",2017-01-03
"3,000",2017-01-04
"3,000",2017-01-05
"3,000",2017-01-06
"3,000",2017-01-09
"3,000",2017-01-10
"3,000",2017-01-11
"3,000",2017-01-12
"3,000",2017-01-13
"3,000",2017-01-16
"3,000",2017-01-17
"3,000",2017-01-18
"3,000",2017-01-19
"3,000",2017-01-20
"3,000",2017-01-23
"3,133",2017-01-24
"3,133",2017-01-25
"3,133",2017-01-26
"3,133",2017-01-31
"3,133",2017-02-01
"3,133",2017-02-02
"3,133",2017-02-03
"3,133",2017-02-06
"3,133",2017-02-07
"3,133",2017-02-08
"3,133",2017-02-09
"3,133",2017-02-10
"3,000",2017-02-13
"3,000",2017-02-14
"3,000",2017-02-15
"3,000",2017-02-16
"3,000",2017-02-17
"3,000",2017-02-20
"3,000",2017-02-21
"3,000",2017-02-22
"3,000",2017-02-23
"2,867",2017-02-24
"2,867",2017-02-27
"2,867",2017-02-28
"3,000",2017-03-02
"3,000",2017-03-03
"3,133",2017-03-06
"3,133",2017-03-07
"3,133",2017-03-08
"3,133",2017-03-09
"3,133",2017-03-10
"3,267",2017-03-13
"3,267",2017-03-14
"3,267",2017-03-15
"3,133",2017-03-16
"3,133",2017-03-17
"3,133",2017-03-20
"3,133",2017-03-21
"3,133",2017-03-22
"3,133",2017-03-23
"3,133",2017-03-24
"3,133",2017-03-27
"3,133",2017-03-28
"3,133",2017-03-29
"3,133",2017-03-30
"3,133",2017-03-31
"3,267",2017-04-03
"3,267",2017-04-04
"3,333",2017-04-05
"3,333",2017-04-06
"3,333",2017-04-07
"3,333",2017-04-10
"3,333",2017-04-11
"3,333",2017-04-12
"3,333",2017-04-13
"3,333",2017-04-14
"3,333",2017-04-17
"3,333",2017-04-18
"3,333",2017-04-19
"3,333",2017-04-20
"3,333",2017-04-21
"3,200",2017-04-24
"3,200",2017-04-25
"3,200",2017-04-26
"3,200",2017-04-27
"3,200",2017-04-28
"3,200",2017-05-02
"3,200",2017-05-04
"3,200",2017-05-08
"3,200",2017-05-10
"3,200",2017-05-11
"3,200",2017-05-12
"3,200",2017-05-15
"3,200",2017-05-16
"3,200",2017-05-17
"3,200",2017-05-18
"3,200",2017-05-19
"3,200",2017-05-22
"3,200",2017-05-23
"3,200",2017-05-24
"3,200",2017-05-25
"3,200",2017-05-26
"3,200",2017-05-29
"3,200",2017-05-30
"3,200",2017-05-31
"3,533",2017-06-01
"3,533",2017-06-02
"3,533",2017-06-05
"3,533",2017-06-07
"3,533",2017-06-08
"3,800",2017-06-09
"4,000",2017-06-12
"4,000",2017-06-13
"4,000",2017-06-14
"4,000",2017-06-15
"4,000",2017-06-16
"4,000",2017-06-19
"4,000",2017-06-20
"4,200",2017-06-21
"4,200",2017-06-22
"4,200",2017-06-23
"4,200",2017-06-26
"4,200",2017-06-27
"4,200",2017-06-28
"4,200",2017-06-29
"4,200",2017-06-30
"4,200",2017-07-03
"4,200",2017-07-04
"4,200",2017-07-05
"4,200",2017-07-06
"4,000",2017-07-07
"4,000",2017-07-10
"4,000",2017-07-11
"4,000",2017-07-12
"4,000",2017-07-13
"4,000",2017-07-14
"4,000",2017-07-17
"4,000",2017-07-18
"4,000",2017-07-19
"4,000",2017-07-20
"4,000",2017-07-21
"4,000",2017-07-24
"4,000",2017-07-25
"4,000",2017-07-26
"4,000",2017-07-27
"4,133",2017-07-28
"4,133",2017-07-31
"4,133",2017-08-01
"4,133",2017-08-02
"4,133",2017-08-03
"4,133",2017-08-04
"4,133",2017-08-07
"4,133",2017-08-08
"4,133",2017-08-09
"4,133",2017-08-10
"4,133",2017-08-11
"4,133",2017-08-14
"4,133",2017-08-16
"4,133",2017-08-17
"4,133",2017-08-18
"4,133",2017-08-21
"4,133",2017-08-22
"4,133",2017-08-23
"4,133",2017-08-24
"4,133",2017-08-25
"4,133",2017-08-28
"4,133",2017-08-29
"4,133",2017-08-30
"4,133",2017-08-31
"4,133",2017-09-01
"4,133",2017-09-04
"3,000",2017-09-18
"2,867",2017-09-19
"2,867",2017-09-20
"2,867",2017-09-21
"3,000",2017-09-22
"3,000",2017-09-25
"3,000",2017-09-26
"3,000",2017-09-27
"3,000",2017-09-28
"3,000",2017-09-29
"3,000",2017-10-10
"2,800",2017-10-11
"2,800",2017-10-12
"2,800",2017-10-13
"2,667",2017-10-16
"2,667",2017-10-17
"2,667",2017-10-18
"2,667",2017-10-19
"2,667",2017-10-20
"2,667",2017-10-23
"2,667",2017-10-24
"2,667",2017-10-25
"2,467",2017-10-26
"2,467",2017-10-27
"2,467",2017-10-30
"2,667",2017-10-31
"2,467",2017-11-01
"2,333",2017-11-02
"2,333",2017-11-03
"2,333",2017-11-06
"2,333",2017-11-07
"2,333",2017-11-08
"2,333",2017-11-09
"2,333",2017-11-10
"2,467",2017-11-13
"2,333",2017-11-14
"2,333",2017-11-15
"2,333",2017-11-16
"2,333",2017-11-17
"2,333",2017-11-20
"2,333",2017-11-21
"2,333",2017-11-22
"2,333",2017-11-23
"2,333",2017-11-24
"2,333",2017-11-27
"2,333",2017-11-28
"2,333",2017-11-29
"2,333",2017-11-30
"2,333",2017-12-04
"2,333",2017-12-05
"2,333",2017-12-06
"2,333",2017-12-07
"2,333",2017-12-08
"2,333",2017-12-11
"2,333",2017-12-12
"2,333",2017-12-13
"2,333",2017-12-14
"2,333",2017-12-15
"2,333",2017-12-18
"2,333",2017-12-19
"2,333",2017-12-20
"2,333",2017-12-21
"2,333",2017-12-22
"2,333",2017-12-26
"2,333",2017-12-27
"2,333",2017-12-28
"2,333",2017-12-29
