pear_price,date
"2,333",2018-01-02
"2,467",2018-01-03
"2,533",2018-01-04
"2,533",2018-01-05
"2,533",2018-01-08
"2,533",2018-01-09
"2,533",2018-01-10
"2,667",2018-01-11
"2,667",2018-01-12
"2,667",2018-01-15
"2,667",2018-01-16
"2,667",2018-01-17
"2,667",2018-01-18
"2,667",2018-01-19
"2,667",2018-01-22
"2,667",2018-01-23
"2,667",2018-01-24
"2,667",2018-01-25
"2,667",2018-01-26
"2,867",2018-01-29
"2,867",2018-01-30
"2,867",2018-01-31
"2,867",2018-02-01
"2,867",2018-02-02
"3,000",2018-02-05
"3,000",2018-02-06
"3,000",2018-02-07
"3,000",2018-02-08
"2,867",2018-02-09
"2,733",2018-02-12
"2,733",2018-02-13
"2,733",2018-02-14
"2,733",2018-02-19
"2,733",2018-02-20
"2,733",2018-02-21
"2,733",2018-02-22
"2,733",2018-02-23
"2,733",2018-02-26
"2,733",2018-02-27
"2,733",2018-02-28
"2,733",2018-03-02
"2,600",2018-03-05
"2,600",2018-03-06
"2,600",2018-03-07
"2,600",2018-03-08
"2,600",2018-03-09
"2,600",2018-03-12
"2,600",2018-03-13
"2,600",2018-03-14
"2,600",2018-03-15
"2,600",2018-03-16
"2,600",2018-03-19
"2,600",2018-03-20
"2,600",2018-03-21
"2,600",2018-03-22
"2,600",2018-03-23
"2,600",2018-03-26
"2,600",2018-03-27
"2,600",2018-03-28
"2,600",2018-03-29
"2,600",2018-03-30
"2,600",2018-04-02
"2,600",2018-04-03
"2,600",2018-04-04
"2,600",2018-04-05
"2,600",2018-04-06
"2,600",2018-04-09
"2,600",2018-04-10
"2,600",2018-04-11
"2,600",2018-04-12
"2,600",2018-04-13
"2,600",2018-04-16
"2,600",2018-04-17
"2,600",2018-04-18
"2,600",2018-04-19
"2,600",2018-04-20
"2,600",2018-04-23
"2,600",2018-04-24
"2,600",2018-04-25
"2,600",2018-04-26
"2,600",2018-04-27
"2,600",2018-04-30
"2,600",2018-05-02
"2,600",2018-05-03
"2,600",2018-05-04
"2,600",2018-05-08
"2,600",2018-05-09
"2,600",2018-05-10
"2,600",2018-05-11
"2,600",2018-05-14
"2,600",2018-05-15
"2,600",2018-05-16
"2,600",2018-05-17
"2,600",2018-05-18
"2,600",2018-05-21
"2,600",2018-05-23
"2,600",2018-05-24
"2,600",2018-05-25
"2,600",2018-05-28
"2,600",2018-05-29
"2,600",2018-05-30
"2,600",2018-05-31
"2,600",2018-06-01
"2,600",2018-06-04
"2,600",2018-06-05
"2,600",2018-06-07
"2,600",2018-06-08
"2,600",2018-06-11
"2,600",2018-06-12
"2,600",2018-06-14
"2,600",2018-06-15
"2,600",2018-06-18
"2,600",2018-06-19
"2,600",2018-06-20
"2,600",2018-06-21
"2,600",2018-06-22
"2,600",2018-06-25
"2,600",2018-06-26
"2,600",2018-06-27
"2,600",2018-06-28
"2,600",2018-06-29
"2,600",2018-07-02
"2,600",2018-07-03
"2,600",2018-07-04
"2,600",2018-07-05
"2,600",2018-07-06
"2,600",2018-07-09
"2,600",2018-07-10
"2,600",2018-07-11
"2,600",2018-07-12
"2,600",2018-07-13
"2,600",2018-07-16
"2,600",2018-07-17
"2,600",2018-07-18
"2,600",2018-07-19
"2,600",2018-07-20
"2,600",2018-07-23
"2,600",2018-07-24
"2,600",2018-07-25
"2,600",2018-07-26
"2,600",2018-07-27
"2,600",2018-07-30
"2,600",2018-07-31
"2,600",2018-08-01
"2,600",2018-08-02
"2,600",2018-08-03
"2,600",2018-08-06
"2,600",2018-08-07
"2,600",2018-08-08
"2,600",2018-08-09
"2,600",2018-08-10
"2,600",2018-08-13
"2,600",2018-08-14
"2,600",2018-08-16
"2,600",2018-08-17
"2,000",2018-08-20
"2,000",2018-08-21
"2,000",2018-08-22
"2,000",2018-08-23
"2,000",2018-08-24
"2,333",2018-08-27
"2,467",2018-08-28
"2,467",2018-08-29
"2,467",2018-08-30
"2,467",2018-08-31
"2,467",2018-09-03
"3,333",2018-09-04
"3,333",2018-09-05
"3,333",2018-09-06
"2,667",2018-09-07
"3,333",2018-09-10
"3,333",2018-09-11
"3,333",2018-09-12
"2,667",2018-09-13
"4,000",2018-09-14
"4,000",2018-09-17
"3,333",2018-09-18
"3,667",2018-09-19
"3,667",2018-09-20
"3,333",2018-09-21
"3,000",2018-09-27
"3,000",2018-09-28
"3,000",2018-10-01
"2,667",2018-10-02
"2,333",2018-10-04
"2,333",2018-10-05
"2,667",2018-10-08
"2,333",2018-10-10
"2,333",2018-10-11
"2,667",2018-10-12
"2,533",2018-10-15
"2,667",2018-10-16
"3,000",2018-10-17
"3,333",2018-10-18
"3,467",2018-10-19
"3,467",2018-10-22
"3,333",2018-10-23
"3,333",2018-10-24
"3,000",2018-10-25
"3,000",2018-10-26
"3,000",2018-10-29
"3,000",2018-10-30
"3,000",2018-10-31
"2,667",2018-11-01
"2,667",2018-11-02
"3,000",2018-11-05
"3,000",2018-11-06
"3,000",2018-11-07
"3,000",2018-11-08
"3,000",2018-11-09
"3,000",2018-11-12
"3,000",2018-11-13
"3,000",2018-11-14
"3,200",2018-11-15
"3,200",2018-11-16
"3,333",2018-11-19
"3,333",2018-11-20
"3,333",2018-11-21
"3,333",2018-11-22
"3,333",2018-11-23
"3,333",2018-11-26
"3,333",2018-11-27
"3,333",2018-11-28
"3,333",2018-11-29
"3,333",2018-11-30
"3,333",2018-12-03
"3,333",2018-12-04
"3,333",2018-12-05
"3,333",2018-12-06
"3,333",2018-12-10
"3,333",2018-12-11
"3,333",2018-12-12
"3,333",2018-12-13
"3,333",2018-12-14
"3,333",2018-12-17
"3,333",2018-12-18
"3,333",2018-12-19
"3,667",2018-12-20
"3,333",2018-12-21
"3,667",2018-12-24
"3,667",2018-12-26
"3,333",2018-12-27
"3,667",2018-12-28
"3,333",2018-12-31
